,CCE1_%Diff,CCE1_Unique,CCE1_Score,CCE2_%Diff,CCE2_Unique,CCE2_Score,CCE3_%Diff,CCE3_Unique,CCE3_Score,CCE4_%Diff,CCE4_Unique,CCE4_Score
143,,,,,,,1,0.119234,0.559617,1,0.116727202,0.558363601
144,,,,,,,,,,0.451722253,0,0.225861126
145,,,,,,,,,,1,0,0.5
146,,,,,,,,,,1,0,0.5
147,,,,,,,,,,1,0,0.5
148,,,,,,,,,,1,0.127289936,0.563644968
149,,,,,,,,,,1,0.082664913,0.541332456
150,,,,,,,,,,1,0,0.5
151,,,,,,,,,,1,0.12751601,0.563758005
152,,,,,,,,,,1,0.430004539,0.715002269
153,,,,,,,,,,1,0.036324824,0.518162412
154,,,,,,,,,,1,0,0.5
155,,,,,,,,,,1,0,0.5
156,,,,,,,,,,1,0,0.5
157,,,,,,,,,,1,0,0.5
158,,,,,,,,,,1,0,0.5
159,,,,,,,,,,1,0,0.5
160,,,,,,,,,,1,0,0.5
161,,,,,,,,,,1,0.020263443,0.510131722
162,,,,,,,,,,1,0,0.5
163,,,,,,,,,,1,0,0.5
164,,,,,,,,,,1,0.070303999,0.535152
165,,,,,,,,,,1,0,0.5
166,,,,,,,,,,1,0,0.5
167,,,,,,,,,,1,0,0.5
168,,,,,,,,,,1,0,0.5
169,,,,,,,,,,1,0,0.5
170,,,,,,,,,,1,0,0.5
171,,,,,,,,,,1,0.018206028,0.509103014
172,,,,,,,,,,1,0,0.5
173,,,,,,,,,,1,0,0.5
174,,,,,,,,,,1,0,0.5
175,,,,,,,,,,1,0,0.5
176,,,,,,,,,,1,0,0.5
177,,,,,,,,,,1,0,0.5
178,,,,,,,,,,1,0,0.5
179,,,,,,,,,,0.54196488,0,0.27098244
180,,,,,,,,,,0.600456553,0,0.300228277
181,,,,,,,,,,1,0.16629659,0.583148295
182,,,,,,,,,,1,0,0.5
183,,,,,,,,,,1,0,0.5
184,,,,,,,,,,1,0,0.5
185,,,,,,,,,,1,0.035401477,0.517700738
186,,,,,,,,,,1,0,0.5
187,,,,,,,,,,1,0.0843797,0.54218985
188,,,,,,,,,,1,0,0.5
189,,,,,,,,,,1,0,0.5
190,,,,,,,,,,1,0,0.5
191,,,,,,,,,,1,0.020263443,0.510131722
