,V_Co3O(OH),V_Co3O,V_Co4O4,V_Ce,V_Dy,V_Yb,V_OA,V_SA,V_TMTACN,V_MeOH,AMF,AMF_rt,AMF_50,AMF_ST
CCE_2_16,2.45,0.00,2.01,0.00,0.00,1.30,1.18,0.00,0.00,0.56,0.16,0.17,0.14,0.51
CCE_2_17,1.78,0.90,2.38,0.00,0.00,1.60,0.22,0.00,0.00,0.62,0.22,0.16,0.25,0.51
CCE_2_18,4.00,1.26,0.11,1.01,0.00,0.00,0.00,0.00,0.00,1.12,0.29,0.27,0.25,0.51
CCE_2_19,2.91,0.54,1.59,0.00,0.00,0.07,0.00,0.00,0.00,2.38,0.44,0.41,0.29,0.51
CCE_2_20,1.11,1.51,0.88,0.00,0.00,0.08,0.00,0.86,0.00,3.06,0.20,0.19,0.21,0.51
CCE_2_21,1.67,0.39,1.69,0.00,0.00,0.20,0.85,0.00,0.00,2.70,0.27,0.25,0.26,0.51
CCE_2_22,2.35,0.32,0.73,0.00,0.00,0.87,0.00,1.36,0.00,1.87,0.24,0.20,0.24,0.51
CCE_2_23,0.72,0.61,1.84,0.00,0.00,0.63,0.00,0.92,0.00,2.78,0.31,0.31,0.25,0.53
CCE_2_24,1.35,1.27,0.66,0.00,0.00,0.80,1.16,0.00,0.00,2.27,0.19,0.19,0.18,0.51
CCE_2_25,0.98,0.33,2.69,1.23,0.00,0.00,0.00,1.33,0.00,0.94,0.32,0.27,0.32,0.53
CCE_2_26,0.00,1.75,1.10,0.00,0.00,0.62,1.03,0.00,0.00,3.00,0.30,0.34,0.26,0.51
CCE_2_27,0.84,2.74,2.21,0.00,0.00,0.00,0.28,0.00,0.00,1.42,0.33,0.34,0.22,0.57
CCE_2_28,3.20,0.25,1.30,0.00,0.00,0.00,0.00,0.00,0.77,1.99,0.29,0.28,0.22,0.51
CCE_2_29,1.26,0.30,1.93,1.53,0.00,0.00,0.00,0.00,1.47,1.01,0.42,0.25,0.48,0.51
CCE_2_30,0.00,3.71,0.29,0.00,0.00,1.20,1.25,0.00,0.00,1.05,0.34,0.36,0.30,0.51
CCE_2_31,1.24,0.17,0.85,0.00,0.00,0.21,0.00,1.54,0.00,3.49,0.27,0.22,0.30,0.50
CCE_2_32,0.08,0.95,1.96,0.00,0.00,0.00,1.70,0.00,0.00,2.80,0.45,0.35,0.46,0.50
CCE_2_33,1.97,0.12,3.72,0.00,0.00,0.16,0.69,0.00,0.00,0.85,0.44,0.36,0.35,0.56
CCE_2_34,1.85,1.63,0.00,0.00,0.00,0.07,0.00,1.76,0.00,2.18,0.40,0.03,0.60,0.53
CCE_2_35,0.75,0.35,0.19,0.00,0.00,1.92,0.00,1.39,0.00,2.90,0.50,0.41,0.50,0.43
CCE_2_36,0.72,3.43,1.30,0.00,0.00,0.00,0.00,0.00,0.00,2.04,0.29,0.32,0.23,0.52
CCE_2_37,1.10,1.27,1.86,0.00,0.00,0.89,2.05,0.00,0.00,0.33,0.17,0.16,0.19,0.51
CCE_2_38,0.32,0.03,3.71,0.00,0.00,0.00,0.00,0.00,2.79,0.66,0.65,0.49,0.66,0.57
CCE_2_39,0.88,1.11,1.09,0.00,0.00,1.49,0.00,0.00,1.44,1.48,0.30,0.24,0.32,0.50
CCE_2_40,0.44,2.84,0.71,0.18,0.00,0.00,0.00,0.00,0.00,3.33,0.31,0.36,0.20,0.51
CCE_2_41,3.55,0.51,0.35,0.00,0.00,0.00,0.71,0.00,0.00,2.38,0.25,0.23,0.24,0.51
CCE_2_42,1.82,0.57,0.62,0.00,0.00,1.89,0.00,0.00,2.00,0.60,0.38,0.30,0.37,0.47
CCE_2_43,1.55,2.81,0.86,0.00,0.00,0.00,0.00,0.00,1.19,1.09,0.24,0.16,0.28,0.51
CCE_2_44,1.13,1.97,1.76,0.00,0.00,0.20,0.00,0.00,0.87,1.59,0.32,0.28,0.26,0.51
CCE_2_45,2.10,0.41,2.02,0.00,0.10,0.00,0.00,1.08,0.00,1.79,0.23,0.20,0.26,0.51
CCE_2_46,1.30,3.51,0.27,0.00,0.42,0.00,0.00,0.00,0.00,2.00,0.17,0.14,0.19,0.51
CCE_2_47,0.70,0.36,2.91,0.00,0.30,0.00,0.00,0.00,1.91,1.32,0.54,0.39,0.49,0.58
CCE_3_0,0.49,1.40,1.90,0.00,0.00,0.00,1.04,0.00,0.00,2.68,0.19,0.13,0.25,0.51
CCE_3_1,0.28,1.74,1.49,0.00,0.00,0.00,0.00,1.22,0.00,2.77,0.27,0.18,0.23,0.62
CCE_3_2,2.53,1.79,1.69,0.00,0.00,1.18,0.00,0.07,0.00,0.23,0.22,0.22,0.21,0.52
CCE_3_3,1.39,1.12,1.28,0.00,0.71,0.00,0.00,0.00,0.00,2.99,0.22,0.21,0.23,0.51
CCE_3_4,0.51,2.41,1.89,0.48,0.00,0.00,0.00,0.79,0.00,1.42,0.23,0.21,0.23,0.53
CCE_3_5,0.34,0.77,1.61,0.00,0.00,0.00,0.46,0.00,0.00,4.32,0.22,0.19,0.26,0.51
CCE_3_6,3.18,0.57,0.40,0.00,0.00,0.00,2.17,0.00,0.00,1.17,0.27,0.27,0.25,0.53
CCE_3_7,0.59,0.80,2.53,0.59,0.00,0.00,0.00,0.00,0.00,3.00,0.23,0.20,0.24,0.52
CCE_3_8,0.07,0.62,0.95,0.00,0.00,0.00,0.00,0.00,0.00,5.86,0.27,0.24,0.33,0.43
CCE_3_9,1.54,1.20,1.94,0.00,0.00,0.00,0.62,0.00,0.00,2.20,0.18,0.18,0.17,0.53
CCE_3_10,2.84,0.44,0.26,0.00,0.52,0.00,0.00,0.00,0.00,3.43,0.28,0.27,0.29,0.51
CCE_3_11,2.82,2.69,0.00,0.00,0.00,0.08,0.00,0.00,0.00,1.90,0.25,0.22,0.21,0.57
CCE_3_12,0.36,0.93,2.38,0.54,0.00,0.00,1.57,0.00,0.00,1.73,0.22,0.19,0.25,0.52
CCE_3_13,2.19,1.89,0.02,0.86,0.00,0.00,0.00,0.97,0.00,1.57,0.22,0.19,0.24,0.52
CCE_3_14,1.40,2.22,0.40,0.00,1.10,0.00,0.00,1.50,0.00,0.88,0.23,0.15,0.28,0.53
CCE_3_15,0.08,0.19,2.72,2.53,0.00,0.00,0.00,1.81,0.00,0.17,0.43,0.41,0.36,0.52
CCE_3_16,2.07,0.21,0.41,0.00,0.00,0.00,0.00,0.91,0.00,3.89,0.21,0.29,0.25,0.24
CCE_3_17,0.27,3.66,1.33,0.00,0.00,0.00,0.00,0.00,0.00,2.24,0.22,0.19,0.24,0.51
CCE_3_18,1.17,1.48,1.27,0.00,0.00,0.50,1.28,0.00,0.00,1.80,0.18,0.18,0.18,0.52
CCE_3_19,2.43,3.06,0.96,0.00,0.00,0.02,0.10,0.00,0.00,0.93,0.48,0.16,0.22,1.00
CCE_3_20,2.66,1.00,2.03,0.00,1.12,0.00,0.17,0.00,0.00,0.52,0.21,0.25,0.17,0.51
CCE_3_21,1.67,0.85,1.05,0.00,0.52,0.00,0.11,0.00,0.00,3.29,0.22,0.23,0.22,0.51
CCE_3_22,1.74,0.66,1.10,0.00,0.99,0.00,0.00,0.00,2.22,0.79,0.44,0.28,0.50,0.53
CCE_3_23,1.83,0.47,0.95,0.00,0.00,1.53,0.00,0.17,0.00,2.55,0.41,0.26,0.38,0.62
CCE_3_24,1.86,0.58,1.80,0.35,0.00,0.00,0.00,0.00,0.95,1.97,0.39,0.32,0.34,0.58
CCE_3_25,0.65,0.57,1.48,0.00,0.00,0.86,0.31,0.00,0.00,3.62,0.24,0.21,0.26,0.51
CCE_3_26,2.27,2.05,0.72,0.00,0.80,0.00,0.00,0.00,1.47,0.18,0.27,0.21,0.28,0.52
CCE_3_27,0.74,1.22,1.82,0.00,0.00,0.00,0.00,0.00,0.45,3.27,0.38,0.20,0.18,0.82
CCE_3_28,0.63,1.25,1.85,0.00,0.00,0.44,0.30,0.00,0.00,3.03,0.21,0.18,0.19,0.55
CCE_3_29,1.45,1.94,0.97,0.00,0.00,0.24,1.04,0.00,0.00,1.87,0.27,0.17,0.17,0.69
CCE_3_30,0.76,2.52,0.13,0.00,1.07,0.00,1.09,0.00,0.00,1.93,0.24,0.16,0.29,0.51
CCE_3_31,0.23,2.99,0.98,1.06,0.00,0.00,0.00,0.00,1.33,0.91,0.39,0.24,0.46,0.51
CCE_3_32,0.98,0.47,1.56,0.00,0.00,0.74,0.00,0.00,0.91,2.85,0.26,0.20,0.28,0.51
CCE_3_33,1.58,0.37,1.97,0.00,0.00,0.92,0.00,0.00,0.70,1.97,0.22,0.21,0.21,0.51
CCE_3_34,1.54,1.86,0.47,0.00,0.00,0.00,0.79,0.00,0.00,2.84,0.18,0.17,0.19,0.51
CCE_3_35,0.29,2.60,0.39,0.00,0.00,2.67,0.00,0.00,0.57,0.98,0.29,0.20,0.35,0.51
CCE_3_36,0.07,1.11,1.68,0.00,0.41,0.00,0.89,0.00,0.00,3.33,0.29,0.25,0.32,0.51
CCE_3_37,0.99,1.05,1.50,0.00,0.00,0.00,0.00,0.00,1.03,2.94,0.37,0.26,0.29,0.61
CCE_3_38,1.42,1.44,2.49,0.00,0.00,0.69,0.00,0.73,0.00,0.72,0.20,0.19,0.19,0.54
CCE_3_39,1.52,1.04,1.61,0.00,0.00,0.00,0.00,0.00,0.40,2.93,0.23,0.22,0.23,0.52
CCE_3_40,0.86,1.84,2.00,0.88,0.00,0.00,0.00,0.00,0.64,1.29,0.18,0.16,0.17,0.52
CCE_3_41,0.60,1.97,0.56,0.00,0.00,0.00,0.00,1.11,0.00,3.26,0.20,0.16,0.23,0.52
CCE_3_42,0.87,0.61,3.21,0.00,0.00,0.00,0.00,0.00,0.90,1.91,0.19,0.17,0.21,0.51
CCE_3_43,0.88,1.42,0.61,0.00,1.26,0.00,0.00,0.00,0.84,2.49,0.23,0.19,0.26,0.51
CCE_3_44,1.13,2.37,1.13,0.81,0.00,0.00,0.00,0.52,0.00,1.54,0.17,0.17,0.17,0.52
CCE_3_45,0.06,3.34,0.11,0.00,0.00,1.19,1.17,0.00,0.00,1.63,0.40,0.25,0.45,0.55
CCE_3_46,1.11,1.19,1.78,0.00,0.00,0.00,0.00,0.00,0.00,3.42,0.21,0.18,0.22,0.52
CCE_3_47,1.10,1.16,0.86,0.00,0.00,0.00,0.25,0.00,0.00,4.14,0.22,0.20,0.20,0.56
CCE_4_0,0.00,0.00,2.58,0.00,0.00,1.17,0.00,0.00,0.00,3.75,0.31,0.43,0.28,0.23
CCE_4_1,0.00,0.38,6.16,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.41,0.33,0.39,0.50
CCE_4_2,0.00,0.16,6.01,0.00,0.00,0.00,0.00,0.00,1.33,0.00,0.38,0.37,0.33,0.50
CCE_4_3,0.00,0.00,2.07,0.00,0.00,0.82,0.00,0.86,0.00,3.75,0.36,0.36,0.32,0.50
CCE_4_4,0.00,0.72,0.17,0.00,0.00,0.00,0.00,0.00,5.91,0.69,0.51,0.43,0.50,0.56
CCE_4_5,0.00,0.00,2.28,0.00,0.00,0.00,0.00,0.00,2.11,3.11,0.45,0.41,0.43,0.54
CCE_4_6,0.27,1.54,4.49,0.63,0.00,0.00,0.00,0.00,0.00,0.57,0.24,0.12,0.35,0.50
CCE_4_7,0.39,0.32,1.93,0.00,0.00,0.00,0.00,0.00,3.60,1.26,0.56,0.44,0.56,0.56
CCE_4_8,0.29,0.63,0.42,0.00,0.00,0.00,0.00,0.00,2.63,3.52,0.67,0.45,0.58,0.72
CCE_4_9,0.34,3.25,1.57,0.00,0.00,0.00,0.00,0.00,2.12,0.21,0.42,0.27,0.49,0.52
CCE_4_10,0.02,2.18,0.04,0.00,0.00,0.00,0.00,1.38,0.00,3.89,0.30,0.23,0.35,0.50
CCE_4_11,0.21,0.77,0.94,0.00,0.00,0.00,2.29,0.00,0.00,3.28,0.14,0.05,0.25,0.50
CCE_4_12,0.02,2.26,2.22,0.00,0.00,1.41,0.00,0.00,1.40,0.19,0.34,0.33,0.33,0.50
CCE_4_13,1.16,0.42,3.07,0.42,0.00,0.00,0.00,0.00,2.24,0.19,0.62,0.50,0.55,0.50
CCE_4_14,0.80,1.99,1.26,0.00,0.00,0.00,0.00,0.84,0.00,2.61,0.19,0.13,0.26,0.50
CCE_4_15,0.21,2.00,2.55,0.02,0.00,0.00,0.00,0.00,0.00,2.72,0.16,0.02,0.31,0.50
CCE_4_16,0.14,0.00,2.61,1.04,0.00,0.00,0.00,1.39,0.00,2.32,0.32,0.36,0.25,0.50
