,Cr3O,Mn3O,Fe3O,Co3O,T1,rT1,T2,rT2,V_TOT,strategy,AMF
36,0.8229166666666666,0.17708333333333331,0.03125,0.5104166666666666,Ce,0.18229166666666666,SA,0.421875,4.0234375,LHS,0.2166881927706295
37,0.44791666666666663,0.32291666666666663,0.6979166666666666,0.65625,Dy,0.2864583333333333,SA,0.3489583333333333,4.9609375,LHS,0.1639821847123364
38,0.28125,0.6770833333333333,0.09375,0.6354166666666666,MeOH,0.11979166666666666,SA,0.453125,5.8203125,LHS,0.1658454180882601
39,0.5104166666666666,0.4270833333333333,0.28125,0.9895833333333333,Ce,0.234375,MeOH,0.27604166666666663,6.6796875,LHS,0.06494762112133287
40,0.8645833333333333,0.59375,0.59375,0.05208333333333333,Dy,0.328125,TMTACN,0.49479166666666663,5.7421875,LHS,0.501975078299878
41,0.6979166666666666,0.03125,0.53125,0.96875,MeOH,0.21354166666666666,TMTACN,0.22395833333333331,6.6015625,LHS,0.0637028907735677
42,0.38541666666666663,0.23958333333333331,0.90625,0.53125,MeOH,0.109375,OA,0.11979166666666666,4.8046875,LHS,0.12238325640927333
43,0.46875,0.19791666666666666,0.4270833333333333,0.46875,Yb,0.3489583333333333,MeOH,0.19270833333333331,5.1953125,LHS,0.19182169125326226
44,0.53125,0.13541666666666666,0.3020833333333333,0.6770833333333333,Yb,0.30729166666666663,MeOH,0.015625,4.8828125,LHS,0.06544597973936035
45,0.6145833333333333,0.38541666666666663,0.9270833333333333,0.09375,Dy,0.484375,SA,0.109375,4.4921875,LHS,0.21566636065207817
46,0.9479166666666666,0.44791666666666663,0.3645833333333333,0.28125,Ce,0.140625,TMTACN,0.43229166666666663,7.0703125,LHS,0.11946957799291755
47,0.11458333333333333,0.84375,0.6770833333333333,0.3645833333333333,Ce,0.24479166666666666,MeOH,0.36979166666666663,7.4609375,LHS,0.20485642346934707
