,CCE1_%Diff,CCE1_Unique,CCE1_Score,CCE2_%Diff,CCE2_Unique,CCE2_Score,CCE3_%Diff,CCE3_Unique,CCE3_Score,CCE4_%Diff,CCE4_Unique,CCE4_Score
79,,,,0.4085,0,0.20425,0.4085,0,0.20425,0.438185785,0,0.219092892
80,,,,0.600321,0.080102,0.340212,0.600321,0.074808,0.337564,0.613372242,0.079054565,0.346213404
81,,,,0.463126,0.219971,0.341549,0.463126,0.2165,0.339813,0.488074815,0.238710277,0.363392546
82,,,,0,0.002554,0.001277,0,0.00256,0.00128,0.065111332,0.002870843,0.033991087
83,,,,0.578973,0.204314,0.391644,0.578973,0.204762,0.391868,0.593875658,0.229667464,0.411771561
84,,,,0.55306,0.073429,0.313244,0.55306,0.071933,0.312496,0.570209242,0.078554647,0.324381945
85,,,,0.251695,0.024736,0.138216,0.251695,0.020413,0.136054,0.29497908,0.019456657,0.157217868
86,,,,0.982594,0.009899,0.496246,0.982594,0.010162,0.496378,0.962494078,0.009315896,0.485904987
87,,,,0.350656,0.166852,0.258754,0.350656,0.100928,0.225792,0.385357819,0.091380717,0.238369268
88,,,,0.48288,0.186877,0.334879,0.48288,0.187329,0.335105,0.506116018,0.210113793,0.358114906
89,,,,0.306398,0.097363,0.201881,0.306398,0.105633,0.206016,0.344938279,0.117753947,0.231346113
90,,,,0.289015,0.42066,0.354837,0.289015,0.298636,0.293825,0.32906244,0.263839684,0.296451062
91,,,,0.198294,0.081752,0.140023,0.198294,0.073631,0.135962,0.2462087,0.070419254,0.158313977
92,,,,0.208569,0.285784,0.247176,0.208569,0.284222,0.246395,0.25559293,0.311523182,0.283558056
93,,,,0.309868,0.043187,0.176527,0.309868,0.040421,0.175144,0.348107161,0.042627123,0.195367142
94,,,,0.234792,0.007443,0.121118,0.234792,0.00746,0.121126,0.279542188,0.008366827,0.143954508
95,,,,0.458654,0.345417,0.402035,0.458654,0.343986,0.40132,0.483990365,0.28668945,0.385339907
96,,,,,,,0.215279,0,0.10764,0.261721539,0,0.130860769
97,,,,,,,0.327162,0,0.163581,0.363902012,0,0.181951006
98,,,,,,,0.397433,0.007853,0.202643,0.428078457,0.006037885,0.217058171
99,,,,,,,0.39334,0.005578,0.199459,0.42434084,0.004215127,0.214277984
100,,,,,,,0.379417,0.002275,0.190846,0.411625113,0.002087886,0.206856499
101,,,,,,,0.336502,0.002275,0.169389,0.372431942,0.002087886,0.187259914
102,,,,,,,0.523419,0,0.26171,0.54313924,0,0.27156962
103,,,,,,,0.360123,0.005578,0.18285,0.394004094,0.004480255,0.199242175
104,,,,,,,0.443571,0.002275,0.222923,0.470215554,0.002087886,0.23615172
105,,,,,,,0.331996,0,0.165998,0.368316798,0,0.184158399
