,Co3O(OH),Co3O,Co3O Degradation,Co4O4,Average % Diff,% Diff Scaled,Uniqueness,Uniqueness Scaled,Score
3,100.0,100.0,100.0,100.0,100.0,1.0,0.730053998601077,0.11324767189438283,0.5566238359471914
81,100.0,100.0,100.0,100.0,100.0,1.0,0.7293433797300808,0.11313743904462276,0.5565687195223114
39,100.0,100.0,100.0,100.0,100.0,1.0,0.7185924991076627,0.1114697374723606,0.5557348687361803
14,100.0,100.0,100.0,100.0,100.0,1.0,0.7020167580638363,0.10889847002264523,0.5544492350113226
124,100.0,100.0,100.0,100.0,100.0,1.0,0.69626950915621,0.10800694342347121,0.5540034717117356
20,100.0,100.0,100.0,100.0,100.0,1.0,0.6779109464580249,0.10515912053793067,0.5525795602689654
22,100.0,100.0,100.0,100.0,100.0,1.0,0.669746575089166,0.10389264428853526,0.5519463221442676
27,100.0,100.0,100.0,100.0,100.0,1.0,0.6637661198131981,0.10296494217585643,0.5514824710879282
43,100.0,100.0,100.0,100.0,100.0,1.0,0.6269742879772562,0.097257707768355,0.5486288538841775
141,100.0,100.0,100.0,100.0,100.0,1.0,0.5937839623310406,0.0921091473659015,0.5460545736829507
187,100.0,100.0,100.0,100.0,100.0,1.0,0.5439558849299223,0.08437970026820373,0.5421898501341018
134,100.0,100.0,100.0,100.0,100.0,1.0,0.5355790291261074,0.08308026293973926,0.5415401314698697
149,0.0,0.0,0.0,100.0,100.0,1.0,0.5329014631612149,0.0826649126883212,0.5413324563441606
7,100.0,100.0,100.0,100.0,100.0,1.0,0.5123949432694491,0.07948389369404363,0.5397419468470218
164,100.0,100.0,100.0,100.0,100.0,1.0,0.45321652044435723,0.07030399929696474,0.5351519996484824
10,100.0,100.0,100.0,100.0,100.0,1.0,0.4453587818936651,0.06908508864251207,0.534542544321256
6,100.0,100.0,100.0,100.0,100.0,1.0,0.4343335953365636,0.06737483609655588,0.5336874180482779
100,100.0,100.0,100.0,100.0,100.0,1.0,0.43190470729140823,0.0669980613416295,0.5334990306708147
19,100.0,100.0,100.0,100.0,100.0,1.0,0.42148585236035824,0.06538186436577886,0.5326909321828894
15,100.0,100.0,100.0,100.0,100.0,1.0,0.4079723388468447,0.0632856167629287,0.5316428083814644
73,100.0,100.0,100.0,100.0,100.0,1.0,0.37624775712226294,0.05836442596195187,0.5291822129809759
71,100.0,100.0,100.0,100.0,100.0,1.0,0.36273424360874945,0.05626817835910171,0.5281340891795508
82,100.0,100.0,100.0,0.0,100.0,1.0,0.36273424360874945,0.05626817835910171,0.5281340891795508
102,100.0,100.0,100.0,100.0,100.0,1.0,0.3527380406247416,0.05471754413493228,0.5273587720674662
17,100.0,100.0,100.0,100.0,100.0,1.0,0.3514926068351978,0.05452434955284013,0.52726217477642
118,100.0,100.0,100.0,100.0,100.0,1.0,0.3423656227082137,0.05310855057662943,0.5265542752883147
49,100.0,0.0,0.0,100.0,100.0,1.0,0.3423191856936915,0.05310134715908163,0.5265506735795408
110,100.0,100.0,100.0,100.0,100.0,1.0,0.3416269295136305,0.052993962772588804,0.5264969813862944
105,100.0,100.0,100.0,100.0,100.0,1.0,0.3416269295136305,0.052993962772588804,0.5264969813862944
44,100.0,100.0,100.0,100.0,100.0,1.0,0.3343335953365636,0.05186260383546464,0.5259313019177323
5,100.0,100.0,100.0,100.0,100.0,1.0,0.3343335953365636,0.05186260383546464,0.5259313019177323
50,0.0,100.0,100.0,100.0,100.0,1.0,0.3282165204443573,0.050913708970600706,0.5254568544853003
35,100.0,100.0,100.0,100.0,100.0,1.0,0.32242883343180173,0.05001590951866807,0.525007954759334
135,100.0,100.0,100.0,100.0,100.0,1.0,0.3130369435521069,0.04855901774682389,0.5242795088734119
137,100.0,100.0,100.0,100.0,100.0,1.0,0.31259368114075947,0.048490257852049565,0.5242451289260248
142,100.0,100.0,100.0,100.0,100.0,1.0,0.31259368114075947,0.048490257852049565,0.5242451289260248
29,100.0,100.0,100.0,100.0,100.0,1.0,0.2888790498820182,0.04481158917133227,0.5224057945856662
103,100.0,100.0,100.0,100.0,100.0,1.0,0.2758149637016647,0.042785057780246716,0.5213925288901233
109,100.0,100.0,100.0,100.0,100.0,1.0,0.27548271140284053,0.042733518031960294,0.5213667590159802
140,100.0,100.0,100.0,100.0,100.0,1.0,0.272117490664569,0.0422114971749412,0.5211057485874706
18,100.0,100.0,100.0,100.0,100.0,1.0,0.26937023791731624,0.041785336947988146,0.5208926684739941
38,100.0,100.0,100.0,100.0,100.0,1.0,0.26937023791731624,0.041785336947988146,0.5208926684739941
11,100.0,100.0,100.0,100.0,100.0,1.0,0.26937023791731624,0.041785336947988146,0.5208926684739941
111,100.0,100.0,100.0,100.0,100.0,1.0,0.2676945610690669,0.041525402063342376,0.5207627010316712
16,100.0,100.0,100.0,100.0,100.0,1.0,0.2623949432694491,0.04070331304131553,0.5203516565206577
23,100.0,100.0,100.0,100.0,100.0,1.0,0.2543268408617241,0.03945177025676653,0.5197258851283832
136,100.0,100.0,100.0,100.0,100.0,1.0,0.2533479782027643,0.0392999268075916,0.5196499634037958
13,100.0,100.0,100.0,100.0,100.0,1.0,0.25149260683519775,0.03901211729174889,0.5195060586458744
31,100.0,100.0,100.0,100.0,100.0,1.0,0.24523593177081493,0.03804156732394005,0.51902078366197
84,100.0,100.0,100.0,100.0,100.0,1.0,0.2404544908411918,0.03729985910151003,0.5186499295507551
153,100.0,100.0,100.0,100.0,100.0,1.0,0.23416890139673824,0.03632482386790775,0.5181624119339538
36,100.0,100.0,100.0,100.0,100.0,1.0,0.23172241825730144,0.035945319721089886,0.517972659860545
34,100.0,100.0,100.0,100.0,100.0,1.0,0.2304327864798648,0.03574526904446107,0.5178726345222305
185,100.0,0.0,0.0,100.0,100.0,1.0,0.22821652044435728,0.035401476709509466,0.5177007383547547
114,100.0,100.0,100.0,100.0,100.0,1.0,0.22449844304552133,0.034824719907754896,0.5174123599538775
42,100.0,100.0,100.0,100.0,100.0,1.0,0.22414666068154387,0.03477015061040115,0.5173850753052006
2,100.0,100.0,100.0,100.0,100.0,1.0,0.2229915160066794,0.03459096188548455,0.5172954809427422
98,100.0,100.0,100.0,100.0,100.0,1.0,0.20843020820215505,0.03233217799859433,0.5161660889992972
108,100.0,100.0,100.0,100.0,100.0,1.0,0.20265970107983014,0.03143704353113647,0.5157185217655682
24,100.0,100.0,100.0,100.0,100.0,1.0,0.19999368050884392,0.03102348422803662,0.5155117421140183
122,100.0,100.0,100.0,100.0,100.0,1.0,0.1966947340495201,0.030511743991097264,0.5152558719955487
30,100.0,100.0,100.0,100.0,100.0,1.0,0.1953587818936651,0.030304507989783982,0.515152253994892
131,100.0,100.0,100.0,100.0,100.0,1.0,0.1926945610690669,0.02989122786752395,0.5149456139337619
77,100.0,100.0,100.0,100.0,100.0,1.0,0.18654985377769062,0.028938046600721454,0.5144690233003607
129,100.0,100.0,100.0,100.0,100.0,1.0,0.18508775859072688,0.0287112429994414,0.5143556214997207
91,100.0,100.0,100.0,100.0,100.0,1.0,0.1848080096627957,0.028667847695992805,0.5143339238479964
9,100.0,100.0,100.0,100.0,100.0,1.0,0.1786921152269984,0.02771913594626877,0.5138595679731344
37,100.0,100.0,100.0,100.0,100.0,1.0,0.1751601741950574,0.0271712530500693,0.5135856265250347
4,100.0,100.0,100.0,100.0,100.0,1.0,0.1751601741950574,0.0271712530500693,0.5135856265250347
55,100.0,100.0,100.0,100.0,100.0,1.0,0.16974657508916602,0.02633148298307907,0.5131657414915395
126,100.0,100.0,100.0,100.0,100.0,1.0,0.16971476308926892,0.026326548231768134,0.513163274115884
128,100.0,100.0,100.0,100.0,100.0,1.0,0.16586317686614516,0.025729081231100986,0.5128645406155505
113,100.0,100.0,100.0,100.0,100.0,1.0,0.1615757849959141,0.0250640110462476,0.5125320055231238
139,100.0,100.0,100.0,100.0,100.0,1.0,0.16121482905742,0.025008018722708192,0.5125040093613541
64,100.0,0.0,0.0,100.0,100.0,1.0,0.1589858523603582,0.024662254680414365,0.5123311273402071
41,100.0,100.0,100.0,100.0,100.0,1.0,0.15432684086172405,0.02393953799567529,0.5119697689978376
63,100.0,0.0,0.0,100.0,100.0,1.0,0.15128383215833802,0.023467499417880826,0.5117337497089404
130,100.0,100.0,100.0,100.0,100.0,1.0,0.15081496370166464,0.02339476745388266,0.5116973837269413
1,100.0,100.0,100.0,100.0,100.0,1.0,0.14888142975593557,0.023094833177374124,0.5115474165886871
69,100.0,100.0,100.0,100.0,100.0,1.0,0.14547233884684466,0.022566007077564197,0.5112830035387821
47,100.0,100.0,100.0,100.0,100.0,1.0,0.14081332734821053,0.02184329039282512,0.5109216451964126
8,100.0,100.0,100.0,100.0,100.0,1.0,0.14081332734821053,0.02184329039282512,0.5109216451964126
25,100.0,100.0,100.0,100.0,100.0,1.0,0.14081332734821053,0.02184329039282512,0.5109216451964126
33,100.0,100.0,100.0,100.0,100.0,1.0,0.14081332734821053,0.02184329039282512,0.5109216451964126
32,100.0,100.0,100.0,100.0,100.0,1.0,0.14081332734821053,0.02184329039282512,0.5109216451964126
26,100.0,100.0,100.0,100.0,100.0,1.0,0.14081332734821053,0.02184329039282512,0.5109216451964126
70,100.0,100.0,100.0,100.0,100.0,1.0,0.13815251902702486,0.02143053962602036,0.5107152698130102
74,0.0,100.0,100.0,100.0,100.0,1.0,0.13815251902702486,0.02143053962602036,0.5107152698130102
72,100.0,100.0,100.0,100.0,100.0,1.0,0.13815251902702486,0.02143053962602036,0.5107152698130102
78,0.0,100.0,100.0,100.0,100.0,1.0,0.13815251902702486,0.02143053962602036,0.5107152698130102
88,100.0,100.0,100.0,100.0,100.0,1.0,0.13815251902702486,0.02143053962602036,0.5107152698130102
161,0.0,100.0,100.0,100.0,100.0,1.0,0.13062880114611167,0.020263443033663852,0.510131721516832
191,100.0,0.0,0.0,100.0,100.0,1.0,0.13062880114611167,0.020263443033663852,0.510131721516832
46,100.0,100.0,100.0,100.0,100.0,1.0,0.12970562874051192,0.020120238385936916,0.5100601191929685
127,100.0,100.0,100.0,100.0,100.0,1.0,0.12468544252803346,0.01934149544071798,0.509670747720359
67,100.0,100.0,100.0,100.0,100.0,1.0,0.12463900551351134,0.01933429202317019,0.5096671460115851
58,100.0,100.0,100.0,100.0,100.0,1.0,0.12463900551351134,0.01933429202317019,0.5096671460115851
68,100.0,100.0,100.0,100.0,100.0,1.0,0.12463900551351134,0.01933429202317019,0.5096671460115851
89,100.0,100.0,100.0,100.0,100.0,1.0,0.12463900551351134,0.01933429202317019,0.5096671460115851
171,100.0,100.0,100.0,100.0,100.0,1.0,0.11736562270821364,0.018206027989174138,0.509103013994587
76,100.0,100.0,100.0,100.0,100.0,1.0,0.11279871814130907,0.017497599145613517,0.5087487995728067
92,100.0,100.0,100.0,100.0,100.0,1.0,0.11279871814130907,0.017497599145613517,0.5087487995728067
93,100.0,100.0,100.0,100.0,100.0,1.0,0.11273424360874942,0.017487597706373613,0.5087437988531868
116,100.0,100.0,100.0,100.0,100.0,1.0,0.1122825495544964,0.017417529875568345,0.5087087649377842
66,100.0,100.0,100.0,100.0,100.0,1.0,0.10319591608261702,0.016007990186696356,0.5080039950933481
99,100.0,100.0,100.0,100.0,100.0,1.0,0.10319591608261702,0.016007990186696356,0.5080039950933481
0,100.0,100.0,100.0,100.0,100.0,1.0,0.09535878189366508,0.014792275728692742,0.5073961378643463
12,100.0,100.0,100.0,100.0,100.0,1.0,0.09535878189366508,0.014792275728692742,0.5073961378643463
132,100.0,100.0,100.0,100.0,100.0,1.0,0.078805672180178,0.012224518903503373,0.5061122594517516
117,100.0,100.0,100.0,100.0,100.0,1.0,0.078805672180178,0.012224518903503373,0.5061122594517516
106,100.0,100.0,100.0,100.0,100.0,1.0,0.078805672180178,0.012224518903503373,0.5061122594517516
121,100.0,100.0,100.0,100.0,100.0,1.0,0.078805672180178,0.012224518903503373,0.5061122594517516
65,100.0,100.0,100.0,100.0,100.0,1.0,0.078805672180178,0.012224518903503373,0.5061122594517516
85,100.0,100.0,100.0,100.0,100.0,1.0,0.07148585236035819,0.011089051451959535,0.5055445257259797
94,100.0,100.0,100.0,100.0,100.0,1.0,0.07148585236035819,0.011089051451959535,0.5055445257259797
138,100.0,100.0,100.0,100.0,100.0,1.0,0.06974657508916603,0.010819250721987837,0.5054096253609939
96,100.0,100.0,100.0,100.0,100.0,1.0,0.06769456106906689,0.010500937541159903,0.50525046877058
