,Cr3O,Mn3O,Fe3O,Co3O,T1,rT1,T2,rT2,V_TOT,strategy,AMF
36,0.8229166666666666,0.1770833333333333,0.03125,0.5104166666666666,Ce,0.1822916666666666,SA,0.421875,4.0234375,LHS,0.23105254712589296
37,0.4479166666666666,0.3229166666666666,0.6979166666666666,0.65625,Dy,0.2864583333333333,SA,0.3489583333333333,4.9609375,LHS,0.16755791450776208
38,0.28125,0.6770833333333333,0.09375,0.6354166666666666,MeOH,0.1197916666666666,SA,0.453125,5.8203125,LHS,0.2081184833318853
39,0.5104166666666666,0.4270833333333333,0.28125,0.9895833333333331,Ce,0.234375,MeOH,0.2760416666666666,6.6796875,LHS,0.13730731960470816
40,0.8645833333333333,0.59375,0.59375,0.0520833333333333,Dy,0.328125,TMTACN,0.4947916666666666,5.7421875,LHS,0.3466891220673039
41,0.6979166666666666,0.03125,0.53125,0.96875,MeOH,0.2135416666666666,TMTACN,0.2239583333333333,6.6015625,LHS,0.14499319414095774
42,0.3854166666666666,0.2395833333333333,0.90625,0.53125,MeOH,0.109375,OA,0.1197916666666666,4.8046875,LHS,0.16268901174355022
43,0.46875,0.1979166666666666,0.4270833333333333,0.46875,Yb,0.3489583333333333,MeOH,0.1927083333333333,5.1953125,LHS,0.18785045766920963
44,0.53125,0.1354166666666666,0.3020833333333333,0.6770833333333333,Yb,0.3072916666666666,MeOH,0.015625,4.8828125,LHS,0.12588205758456106
45,0.6145833333333333,0.3854166666666666,0.9270833333333331,0.09375,Dy,0.484375,SA,0.109375,4.4921875,LHS,0.13135418912623265
46,0.9479166666666666,0.4479166666666666,0.3645833333333333,0.28125,Ce,0.140625,TMTACN,0.4322916666666666,7.0703125,LHS,0.08049553781117894
47,0.1145833333333333,0.84375,0.6770833333333333,0.3645833333333333,Ce,0.2447916666666666,MeOH,0.3697916666666666,7.4609375,LHS,0.2665757045389785
