,Cr3O,Mn3O 1,Mn3O 2,Average % Diff,% Diff Scaled,Uniqueness,Uniqueness Scaled,Score
59,52.80377087708771,100.0,100.0,50.93459029236257,0.7640188543854385,0.25396825396825395,0.00999483221743303,0.38700684330143575
60,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
61,100.0,100.0,100.0,50.0,0.75,1.0166666666666666,0.0400105627204116,0.3950052813602058
62,91.64,100.0,100.0,63.879999999999995,0.9581999999999998,2.4377344877344873,0.09593619208250277,0.5270680960412513
63,81.03106619165541,100.0,100.0,60.343688730551804,0.905155330958277,0.0,0.0,0.4525776654791385
64,75.84544661166207,100.0,100.0,43.961361652915514,0.6594204247937326,0.0,0.0,0.3297102123968663
65,0.0,0.0,0.0,0.0,0.0,2.783333333333333,0.10953711433293012,0.05476855716646506
66,74.7807898009718,84.84073770491804,100.0,55.7337195511436,0.836005793267154,0.0,0.0,0.418002896633577
67,94.52341597796143,100.0,100.0,48.63085399449036,0.7294628099173553,5.121067821067821,0.20153784122981863,0.465500325573587
68,0.0,100.0,100.0,33.333333333333336,0.5,0.0,0.0,0.25
69,83.5456475583864,100.0,100.0,45.8864118895966,0.688296178343949,0.0,0.0,0.3441480891719745
70,85.43792517006803,100.0,100.0,46.359481292517,0.695392219387755,0.0,0.0,0.3476961096938775
71,100.0,100.0,100.0,66.66666666666667,1.0,0.0,0.0,0.5
72,84.83231707317073,100.0,100.0,46.20807926829268,0.6931211890243901,0.0,0.0,0.34656059451219506
73,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
74,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
75,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
76,72.86308091078973,100.0,100.0,43.21577022769743,0.6482365534154615,0.0,0.0,0.32411827670773075
77,74.6869489448945,100.0,100.0,43.67173723622362,0.6550760585433543,0.0,0.0,0.32753802927167713
78,78.99136518848867,100.0,100.0,44.747841297122164,0.6712176194568324,0.0,0.0,0.3356088097284162
79,84.91630276564774,100.0,100.0,46.229075691411936,0.693436135371179,0.0,0.0,0.3467180676855895
80,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
81,95.33246568859441,100.0,100.0,48.833116422148606,0.732496746332229,4.668686868686868,0.18373454634251604,0.45811564633737256
82,94.29116841953609,100.0,100.0,48.57279210488402,0.7285918815732603,0.0,0.0,0.36429594078663013
83,66.33909715971598,100.0,100.0,41.584774289928994,0.6237716143489349,0.0,0.0,0.31188580717446746
84,77.33943644364436,100.0,100.0,44.33485911091109,0.6650228866636663,0.0,0.0,0.33251144333183313
85,84.51915559030493,100.0,100.0,46.12978889757623,0.6919468334636435,0.0,0.0,0.34597341673182175
86,63.42445869586959,100.0,100.0,40.8561146739674,0.6128417201095109,0.0,0.0,0.30642086005475544
87,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
88,86.24418604651163,100.0,100.0,46.56104651162791,0.6984156976744186,0.0,0.0,0.3492078488372093
89,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
90,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
91,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
92,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
93,100.0,100.0,100.0,50.0,0.75,0.0,0.0,0.375
94,86.31730266596968,100.0,100.0,46.57932566649242,0.6986898849973863,0.0,0.0,0.34934494249869313
95,64.87187568756875,100.0,100.0,41.21796892189219,0.6182695338283828,0.0,0.0,0.3091347669141914
